moncloa_id,source,title,pdf_url,pdf_filename,section,subsection,is_boe,include_in_comparison
moncloa_0001,moncloa,BOE,https://www.boe.es/boe/dias/2026/02/25/pdfs/BOE-A-2026-4351.pdf,BOE-A-2026-4351.pdf,boe,,True,False
moncloa_0002,moncloa,Transcripción de conversación telefónica de (presuntamente) García Carres y Tejero mientras (posiblemente) el segundo se encontraba dentro del Congreso.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_1._Conversacion_telefonica_GARCIA_CARRES_y_Tcol._TEJERO.pdf,23F_1._Conversacion_telefonica_GARCIA_CARRES_y_Tcol._TEJERO.pdf,interior,guardia-civil,False,True
moncloa_0003,moncloa,Transcripción de conversación telefónica de García Carres con otra persona después de la citada.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_2._Conversacion_telefonica_GARCIA_CARRES.pdf,23F_2._Conversacion_telefonica_GARCIA_CARRES.pdf,interior,guardia-civil,False,True
moncloa_0004,moncloa,Conversaciones telefónicas de (presuntamente) la unidad militar El Pardo (24 de febrero del 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_3._Conversaciones_telefonicas_unidad_militar_El_Pardo.pdf,23F_3._Conversaciones_telefonicas_unidad_militar_El_Pardo.pdf,interior,guardia-civil,False,True
moncloa_0005,moncloa,"Documentación con una presunta planificación del golpe, manuscrita (1980).",https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_4._Documento_planificacion_del_golpe.pdf,23F_4._Documento_planificacion_del_golpe.pdf,interior,guardia-civil,False,True
moncloa_0006,moncloa,Documento manuscrito de posible planificación del golpe.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_5._Documento_manuscrito_planificacion_del_golpe.pdf,23F_5._Documento_manuscrito_planificacion_del_golpe.pdf,interior,guardia-civil,False,True
moncloa_0007,moncloa,Transcripción de cintas grabadas con conversaciones telefónicas con varias personas intervenidas a la esposa de Tejero.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F6TR_1.PDF,23F6TR_1.PDF,interior,guardia-civil,False,True
moncloa_0008,moncloa,Nota del EM de la Guardia Civil con una secuencia parcial de los hechos del asalto al Congreso.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_7._Notas_Informativas_2_Seccion_EM_desarrollo_hechos.pdf,23F_7._Notas_Informativas_2_Seccion_EM_desarrollo_hechos.pdf,interior,guardia-civil,False,True
moncloa_0009,moncloa,Télex interiores y de agencias recibidos en 2ª sección EM el día 23-F informando del estado de situación (23 de febrero de 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_8._Telex_interiores_y_de_Agencias_recibidos_en_2_Seccion_EM.pdf,23F_8._Telex_interiores_y_de_Agencias_recibidos_en_2_Seccion_EM.pdf,interior,guardia-civil,False,True
moncloa_0010,moncloa,Oficio zona País Vasco que expresa una comunicación del teniente coronel Tejero sobre la posible situación de tensión por la presencia de ETA (1975).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_9._Oficio_dimanante_Zona_del_Pais_Vasco_disposiciones_sobre_Tejero.pdf,23F_9._Oficio_dimanante_Zona_del_Pais_Vasco_disposiciones_sobre_Tejero.pdf,interior,guardia-civil,False,True
